order_id,customer_id,order_date,product_id,product_name,product_price,quantity
order-80897-KT1H74,Customer_90,2024-06-28,PROD-77652-F5JTU1,Lobster - Tail 6 Oz,51.34,1
order-23225-NMT9T5,Customer_9,2023-12-20,PROD-87506-V8MFDO,"Soup - Knorr, Ministrone",26.0,2
order-59173-3C7U30,Customer_74,2023-08-24,PROD-65311-XSZLWG,Cucumber - English,92.41,3
order-86441-WE6OBS,Customer_75,2024-02-23,PROD-77652-F5JTU1,Lobster - Tail 6 Oz,31.62,1
order-98994-WH1P1N,Customer_45,2023-12-31,PROD-56388-2OET3Y,Calvados - Boulard,13.39,3
order-04083-WT9RK5,Customer_84,2024-05-03,PROD-55844-OY7490,Venison - Denver Leg Boneless,64.73,5
order-51971-QJPDHQ,Customer_77,2024-07-09,PROD-33110-3UMYM9,Pork Loin Bine - In Frenched,30.03,1
order-57601-GLHCU7,Customer_44,2024-07-09,PROD-41288-8SSO3R,Soup - Campbells Chili Veg,50.4,2
order-20736-Z2RVA3,Customer_19,2023-12-14,PROD-99091-W7JHO8,Pork Salted Bellies,12.99,1
order-57994-QI1D13,Customer_59,2024-04-22,PROD-03977-S1HZ6B,Pie Shell - 5,83.01,2
order-45173-NL3RRO,Customer_14,2023-09-04,PROD-65311-XSZLWG,Cucumber - English,12.52,5
order-08773-HP85YU,Customer_99,2023-11-01,PROD-33110-3UMYM9,Pork Loin Bine - In Frenched,38.42,5
order-81114-KUZPU7,Customer_95,2024-03-11,PROD-19756-FN378E,Roe - Flying Fish,78.15,1
order-22909-SM9XX6,Customer_90,2023-11-04,PROD-07044-C7ZUO1,Sole - Fillet,10.04,1
order-69044-AJ8GCX,Customer_96,2023-09-05,PROD-99091-W7JHO8,Pork Salted Bellies,67.79,3
order-62948-ZWNUZ1,Customer_88,2023-08-13,PROD-77652-F5JTU1,Lobster - Tail 6 Oz,58.08,5
order-81122-6YO75S,Customer_80,2023-10-27,PROD-33428-NUNI88,Cheese - Pied De Vents,22.84,4
order-58627-53LFJQ,Customer_71,2023-11-12,PROD-65311-XSZLWG,Cucumber - English,87.6,2
order-66198-7NFGTY,Customer_58,2023-08-10,PROD-03977-S1HZ6B,Pie Shell - 5,83.18,2
order-73861-0L6YVF,Customer_17,2024-04-22,PROD-69368-PGGPNC,Ostrich - Prime Cut,97.62,5
order-56533-PQBIHB,Customer_94,2024-03-30,PROD-45878-087IDD,"Clams - Littleneck, Whole",71.18,3
order-12735-5OBF78,Customer_58,2023-10-29,PROD-87506-V8MFDO,"Soup - Knorr, Ministrone",28.08,5
order-75780-HZVZA7,Customer_49,2024-03-10,PROD-98653-BBZ430,Artichoke - Fresh,9.5,5
order-42544-NS9WVU,Customer_62,2023-09-29,PROD-65311-XSZLWG,Cucumber - English,64.85,4
order-96290-XRGW5L,Customer_72,2023-08-07,PROD-05828-E0QMLL,Carbonated Water - Orange,41.36,5
order-12640-535K77,Customer_40,2024-01-01,PROD-41288-8SSO3R,Soup - Campbells Chili Veg,26.43,2
order-84061-GZYPX4,Customer_94,2023-12-19,PROD-22372-K04JUM,Onion Powder,95.2,4
order-79657-7QN8CN,Customer_96,2024-04-12,PROD-05828-E0QMLL,Carbonated Water - Orange,90.76,4
order-10419-EUA99F,Customer_87,2023-12-29,PROD-77652-F5JTU1,Lobster - Tail 6 Oz,68.9,3
order-12397-J19SH0,Customer_84,2024-02-09,PROD-03977-S1HZ6B,Pie Shell - 5,40.43,5
order-22865-ATZIMZ,Customer_63,2024-05-04,PROD-99091-W7JHO8,Pork Salted Bellies,43.54,4
order-93290-DH6S1V,Customer_28,2023-10-10,PROD-97351-03NF1Y,Sea Bass - Fillets,32.9,4
order-70697-0JRCEN,Customer_55,2023-10-10,PROD-99091-W7JHO8,Pork Salted Bellies,89.88,4
order-60030-DEGKQZ,Customer_41,2023-08-11,PROD-41288-8SSO3R,Soup - Campbells Chili Veg,82.55,4
order-43302-PACXIX,Customer_4,2023-11-23,PROD-33428-NUNI88,Cheese - Pied De Vents,7.16,2
order-74539-U6WA0D,Customer_63,2024-02-18,PROD-74821-4KNUA6,"Beef - Tongue, Cooked",99.77,3
order-55361-R14API,Customer_53,2023-10-17,PROD-97351-03NF1Y,Sea Bass - Fillets,15.78,2
order-04535-VHUWOE,Customer_19,2023-12-14,PROD-97351-03NF1Y,Sea Bass - Fillets,73.24,4
order-68982-NP49NC,Customer_78,2023-08-13,PROD-56388-2OET3Y,Calvados - Boulard,43.43,5
order-91750-FV82GM,Customer_38,2023-08-18,PROD-65311-XSZLWG,Cucumber - English,78.23,5
order-54614-EP7NIA,Customer_41,2023-08-08,PROD-69368-PGGPNC,Ostrich - Prime Cut,55.2,3
order-13613-0J6ERO,Customer_28,2024-01-22,PROD-41288-8SSO3R,Soup - Campbells Chili Veg,61.39,4
order-91245-BX5X9W,Customer_15,2024-06-13,PROD-41288-8SSO3R,Soup - Campbells Chili Veg,66.58,3
order-36863-FP0Q4T,Customer_26,2023-10-23,PROD-99091-W7JHO8,Pork Salted Bellies,58.48,2
order-94119-BZL9SI,Customer_17,2023-10-09,PROD-45878-087IDD,"Clams - Littleneck, Whole",63.73,2
order-00181-208GHA,Customer_94,2024-01-14,PROD-03977-S1HZ6B,Pie Shell - 5,18.96,4
order-86596-LKB5U1,Customer_76,2024-07-18,PROD-33110-3UMYM9,Pork Loin Bine - In Frenched,35.17,2
order-12029-1QUDD3,Customer_53,2023-12-12,PROD-55844-OY7490,Venison - Denver Leg Boneless,7.05,2
order-42787-APESUD,Customer_6,2024-02-02,PROD-65311-XSZLWG,Cucumber - English,18.21,1
order-18100-3DHVRV,Customer_81,2023-09-03,PROD-55844-OY7490,Venison - Denver Leg Boneless,26.36,5
order-36886-325SB4,Customer_98,2024-04-10,PROD-33110-3UMYM9,Pork Loin Bine - In Frenched,36.32,5
order-74612-5AU5N6,Customer_94,2024-01-31,PROD-65311-XSZLWG,Cucumber - English,32.93,5
order-25009-UDCJNP,Customer_63,2023-08-02,PROD-99091-W7JHO8,Pork Salted Bellies,61.5,1
order-39865-T5ERQ9,Customer_87,2023-08-14,PROD-65311-XSZLWG,Cucumber - English,57.15,3
order-95249-UNZRUN,Customer_44,2024-06-19,PROD-33428-NUNI88,Cheese - Pied De Vents,5.61,5
order-34391-1178B6,Customer_95,2023-08-24,PROD-77652-F5JTU1,Lobster - Tail 6 Oz,65.65,3
order-91078-MADKSR,Customer_35,2024-04-16,PROD-65311-XSZLWG,Cucumber - English,38.01,1
order-88931-QFOZ09,Customer_43,2024-04-13,PROD-74821-4KNUA6,"Beef - Tongue, Cooked",59.8,3
order-66782-HOKYDT,Customer_81,2024-06-26,PROD-55844-OY7490,Venison - Denver Leg Boneless,41.06,5
order-86405-11GLNU,Customer_62,2023-10-07,PROD-69368-PGGPNC,Ostrich - Prime Cut,19.86,1
order-91692-DTLSQ9,Customer_14,2023-08-19,PROD-41288-8SSO3R,Soup - Campbells Chili Veg,30.46,1
order-33516-P3X3Y2,Customer_1,2023-12-13,PROD-77652-F5JTU1,Lobster - Tail 6 Oz,31.0,2
order-11062-N69C3F,Customer_99,2024-01-21,PROD-22372-K04JUM,Onion Powder,20.88,1
order-06904-2FOR58,Customer_4,2024-05-14,PROD-99091-W7JHO8,Pork Salted Bellies,31.47,3
order-66895-QUA9AK,Customer_48,2024-02-24,PROD-74821-4KNUA6,"Beef - Tongue, Cooked",26.62,3
order-80092-GRW71U,Customer_83,2023-09-24,PROD-97351-03NF1Y,Sea Bass - Fillets,36.25,3
order-47713-RX54WY,Customer_36,2024-02-20,PROD-55844-OY7490,Venison - Denver Leg Boneless,67.76,2
order-20617-Z4RUMP,Customer_54,2023-12-20,PROD-89373-AWTFWY,Cookies Almond Hazelnut,52.62,2
order-32491-2WXURU,Customer_88,2024-07-02,PROD-33428-NUNI88,Cheese - Pied De Vents,34.34,5
order-84729-19RZCX,Customer_75,2024-06-26,PROD-89373-AWTFWY,Cookies Almond Hazelnut,66.09,4
order-73152-X7WFXU,Customer_30,2023-12-24,PROD-98653-BBZ430,Artichoke - Fresh,12.05,2
order-25092-TQRRLB,Customer_50,2024-07-06,PROD-77652-F5JTU1,Lobster - Tail 6 Oz,83.04,5
order-34463-LSMVB7,Customer_29,2024-01-28,PROD-87506-V8MFDO,"Soup - Knorr, Ministrone",26.51,2
order-33096-SXEYPV,Customer_74,2024-05-16,PROD-03977-S1HZ6B,Pie Shell - 5,71.47,2
order-83595-83QZLU,Customer_90,2023-11-17,PROD-41288-8SSO3R,Soup - Campbells Chili Veg,77.65,1
order-23198-XC3HV7,Customer_9,2023-11-01,PROD-41288-8SSO3R,Soup - Campbells Chili Veg,97.8,3
order-64711-IHZRR6,Customer_76,2024-01-29,PROD-56388-2OET3Y,Calvados - Boulard,71.7,2
order-86298-9LJ94R,Customer_13,2024-02-03,PROD-56388-2OET3Y,Calvados - Boulard,20.03,4
order-11972-B2RZ98,Customer_84,2024-01-10,PROD-98653-BBZ430,Artichoke - Fresh,58.34,1
order-50834-CSC4S2,Customer_35,2024-04-02,PROD-41288-8SSO3R,Soup - Campbells Chili Veg,94.49,1
order-67592-B3N009,Customer_76,2023-12-03,PROD-65311-XSZLWG,Cucumber - English,22.15,3
order-34682-S6D7L5,Customer_3,2024-04-13,PROD-22372-K04JUM,Onion Powder,44.2,1
order-88994-460G09,Customer_51,2023-08-02,PROD-45878-087IDD,"Clams - Littleneck, Whole",51.54,4
order-06114-4BRZKO,Customer_38,2023-11-30,PROD-87506-V8MFDO,"Soup - Knorr, Ministrone",63.09,5
order-94534-M976FT,Customer_91,2024-01-21,PROD-45878-087IDD,"Clams - Littleneck, Whole",32.58,4
order-59603-YIEQQW,Customer_48,2024-04-17,PROD-97351-03NF1Y,Sea Bass - Fillets,21.4,3
order-20427-784FFR,Customer_52,2023-11-29,PROD-33428-NUNI88,Cheese - Pied De Vents,74.81,1
order-64085-N67WU0,Customer_24,2024-03-04,PROD-74821-4KNUA6,"Beef - Tongue, Cooked",22.17,4
order-59090-D5YN9T,Customer_47,2023-10-20,PROD-07044-C7ZUO1,Sole - Fillet,81.52,1
order-01971-H3EO9Y,Customer_49,2024-06-16,PROD-74821-4KNUA6,"Beef - Tongue, Cooked",72.51,3
order-25584-RF7T62,Customer_78,2023-10-06,PROD-87506-V8MFDO,"Soup - Knorr, Ministrone",55.16,1
order-75198-IXMRQU,Customer_75,2023-09-03,PROD-69368-PGGPNC,Ostrich - Prime Cut,37.92,5
order-94817-52V0L9,Customer_92,2024-06-04,PROD-03977-S1HZ6B,Pie Shell - 5,82.85,4
order-36112-O6BT6G,Customer_16,2024-06-30,PROD-19756-FN378E,Roe - Flying Fish,66.99,2
order-01746-II0S0Z,Customer_95,2023-11-08,PROD-41288-8SSO3R,Soup - Campbells Chili Veg,67.34,2
order-65504-2YLAEB,Customer_72,2024-01-19,PROD-99091-W7JHO8,Pork Salted Bellies,64.29,4
order-17037-Y2A32D,Customer_98,2023-09-10,PROD-77652-F5JTU1,Lobster - Tail 6 Oz,83.61,2
order-12218-MR1HVN,Customer_55,2023-08-09,PROD-33110-3UMYM9,Pork Loin Bine - In Frenched,93.37,3
order-67225-HMR5GG,Customer_43,2024-02-19,PROD-03977-S1HZ6B,Pie Shell - 5,52.55,5
order-40547-HYNJ65,Customer_34,2024-04-26,PROD-74821-4KNUA6,"Beef - Tongue, Cooked",8.54,5
order-54295-VQ7BB6,Customer_43,2024-07-04,PROD-99091-W7JHO8,Pork Salted Bellies,91.18,2
order-32665-ZIVQK8,Customer_13,2024-03-01,PROD-33428-NUNI88,Cheese - Pied De Vents,30.35,3
order-64011-ZGT8HO,Customer_80,2023-12-22,PROD-97351-03NF1Y,Sea Bass - Fillets,43.55,3
order-65318-U258VR,Customer_23,2024-01-30,PROD-05828-E0QMLL,Carbonated Water - Orange,74.42,2
order-86357-O4LXH5,Customer_57,2024-03-20,PROD-87506-V8MFDO,"Soup - Knorr, Ministrone",22.82,1
order-47223-VOU0GE,Customer_31,2023-07-30,PROD-33110-3UMYM9,Pork Loin Bine - In Frenched,16.75,1
order-29883-1PN7IC,Customer_25,2023-09-29,PROD-97351-03NF1Y,Sea Bass - Fillets,75.33,5
order-03321-KNRD7M,Customer_13,2024-03-02,PROD-19756-FN378E,Roe - Flying Fish,99.88,4
order-03387-0ILQ9G,Customer_58,2023-09-11,PROD-89373-AWTFWY,Cookies Almond Hazelnut,95.27,3
order-70238-05QT82,Customer_90,2023-10-12,PROD-99091-W7JHO8,Pork Salted Bellies,14.62,3
order-74415-7CMH3U,Customer_22,2024-06-15,PROD-07044-C7ZUO1,Sole - Fillet,71.76,3
order-58602-75G259,Customer_1,2023-08-21,PROD-98653-BBZ430,Artichoke - Fresh,51.53,5
order-45657-ZS2B44,Customer_87,2023-10-04,PROD-33110-3UMYM9,Pork Loin Bine - In Frenched,51.64,2
order-42413-L8E3M5,Customer_80,2024-06-07,PROD-56388-2OET3Y,Calvados - Boulard,74.72,5
order-13004-V9WD1Q,Customer_24,2023-11-18,PROD-97351-03NF1Y,Sea Bass - Fillets,70.62,3
order-70296-MEKQTS,Customer_46,2024-06-11,PROD-98653-BBZ430,Artichoke - Fresh,31.35,4
order-25036-N5U7AV,Customer_95,2023-09-06,PROD-74821-4KNUA6,"Beef - Tongue, Cooked",98.46,4
order-19514-P71X5E,Customer_8,2024-01-24,PROD-65311-XSZLWG,Cucumber - English,33.83,1
order-93872-C0KOA7,Customer_95,2023-08-28,PROD-77652-F5JTU1,Lobster - Tail 6 Oz,16.5,2
order-77734-POIL22,Customer_40,2024-03-25,PROD-41288-8SSO3R,Soup - Campbells Chili Veg,94.46,3
order-75158-0IGWKE,Customer_31,2024-07-24,PROD-05828-E0QMLL,Carbonated Water - Orange,74.1,4
order-54725-310CL3,Customer_21,2024-03-30,PROD-33110-3UMYM9,Pork Loin Bine - In Frenched,11.76,5
order-34464-T51XGY,Customer_11,2023-09-03,PROD-33428-NUNI88,Cheese - Pied De Vents,91.62,2
order-62830-O7UDXQ,Customer_69,2023-12-20,PROD-77652-F5JTU1,Lobster - Tail 6 Oz,66.87,5
order-61104-W79LGW,Customer_95,2023-11-14,PROD-74821-4KNUA6,"Beef - Tongue, Cooked",50.94,4
order-17007-NZGXP0,Customer_42,2024-04-16,PROD-33110-3UMYM9,Pork Loin Bine - In Frenched,79.39,2
order-62104-XIUJXZ,Customer_62,2024-01-06,PROD-22372-K04JUM,Onion Powder,79.71,2
order-93665-CPVG5I,Customer_79,2023-08-28,PROD-41288-8SSO3R,Soup - Campbells Chili Veg,74.95,2
order-01731-MWYWTY,Customer_11,2024-03-06,PROD-19756-FN378E,Roe - Flying Fish,63.85,3
order-71685-KS6AGW,Customer_74,2024-07-07,PROD-33110-3UMYM9,Pork Loin Bine - In Frenched,7.9,3
order-70008-IQE980,Customer_75,2024-05-30,PROD-98653-BBZ430,Artichoke - Fresh,47.76,3
order-58297-W2HPB9,Customer_42,2023-09-05,PROD-77652-F5JTU1,Lobster - Tail 6 Oz,27.17,3
order-28889-Z92NV2,Customer_4,2024-05-19,PROD-05828-E0QMLL,Carbonated Water - Orange,94.14,3
order-18621-9FWXGU,Customer_6,2024-01-24,PROD-33428-NUNI88,Cheese - Pied De Vents,91.18,4
order-22320-TS43V3,Customer_42,2023-09-18,PROD-89373-AWTFWY,Cookies Almond Hazelnut,74.42,4
order-89390-TZICIY,Customer_15,2023-08-05,PROD-33110-3UMYM9,Pork Loin Bine - In Frenched,67.07,3
order-10134-C8F4PD,Customer_14,2023-09-07,PROD-03977-S1HZ6B,Pie Shell - 5,52.32,4
order-21897-Q0K2QN,Customer_54,2024-03-23,PROD-33428-NUNI88,Cheese - Pied De Vents,53.5,3
order-79640-AAIDHZ,Customer_62,2024-04-29,PROD-98653-BBZ430,Artichoke - Fresh,6.04,1
order-52807-F10DW9,Customer_49,2023-11-21,PROD-05828-E0QMLL,Carbonated Water - Orange,7.39,1
order-83764-KVOLXW,Customer_74,2024-03-28,PROD-65311-XSZLWG,Cucumber - English,57.24,5
order-66801-EKBNSN,Customer_45,2024-07-05,PROD-07044-C7ZUO1,Sole - Fillet,28.56,5
order-36788-38S419,Customer_36,2023-09-02,PROD-77652-F5JTU1,Lobster - Tail 6 Oz,28.7,1
order-81710-D6G9PH,Customer_78,2023-09-15,PROD-33110-3UMYM9,Pork Loin Bine - In Frenched,48.31,5
order-23865-2ELRFN,Customer_74,2024-06-08,PROD-87506-V8MFDO,"Soup - Knorr, Ministrone",31.88,4
order-08353-5JQ2RO,Customer_73,2024-01-13,PROD-41288-8SSO3R,Soup - Campbells Chili Veg,48.23,2
order-37026-AFZ6TF,Customer_5,2024-02-13,PROD-97351-03NF1Y,Sea Bass - Fillets,62.5,2
order-72943-035G9B,Customer_31,2023-12-09,PROD-41288-8SSO3R,Soup - Campbells Chili Veg,24.46,3
order-07318-9JCL6N,Customer_82,2024-04-22,PROD-55844-OY7490,Venison - Denver Leg Boneless,98.17,4
order-52046-4PMXS8,Customer_35,2023-11-14,PROD-19756-FN378E,Roe - Flying Fish,41.4,5
order-48354-BIO3PY,Customer_26,2023-11-26,PROD-07044-C7ZUO1,Sole - Fillet,75.04,3
order-29190-VDZT9V,Customer_86,2023-12-13,PROD-89373-AWTFWY,Cookies Almond Hazelnut,47.55,1
order-27122-354YT5,Customer_85,2024-01-31,PROD-98653-BBZ430,Artichoke - Fresh,79.1,4
order-71627-2KN5YD,Customer_94,2023-08-03,PROD-45878-087IDD,"Clams - Littleneck, Whole",5.83,1
order-94267-TP4YAW,Customer_71,2024-06-25,PROD-69368-PGGPNC,Ostrich - Prime Cut,75.19,5
order-73822-ACQJ8P,Customer_1,2024-05-19,PROD-98653-BBZ430,Artichoke - Fresh,68.97,5
order-39958-3IFRPY,Customer_96,2024-02-16,PROD-77652-F5JTU1,Lobster - Tail 6 Oz,85.64,4
order-86022-E5XJ9I,Customer_81,2024-02-20,PROD-33110-3UMYM9,Pork Loin Bine - In Frenched,84.95,4
order-71051-WLZ82L,Customer_67,2024-03-02,PROD-22372-K04JUM,Onion Powder,67.39,3
order-24325-4C42GL,Customer_64,2023-09-21,PROD-33428-NUNI88,Cheese - Pied De Vents,94.73,1
order-45540-0DPE7L,Customer_85,2023-11-28,PROD-87506-V8MFDO,"Soup - Knorr, Ministrone",61.98,4
order-49925-TZT41F,Customer_1,2023-08-18,PROD-19756-FN378E,Roe - Flying Fish,58.75,2
order-79988-SIDFM7,Customer_98,2023-10-20,PROD-03977-S1HZ6B,Pie Shell - 5,66.58,5
order-78118-12YYPC,Customer_65,2023-08-17,PROD-74821-4KNUA6,"Beef - Tongue, Cooked",9.93,4
order-62039-F5Y4RP,Customer_4,2024-07-11,PROD-89373-AWTFWY,Cookies Almond Hazelnut,34.45,1
order-39152-4K9L4I,Customer_1,2024-06-19,PROD-33428-NUNI88,Cheese - Pied De Vents,17.87,1
order-22328-WOZ3MG,Customer_10,2024-03-29,PROD-98653-BBZ430,Artichoke - Fresh,61.22,1
order-59640-M47PTQ,Customer_23,2023-08-17,PROD-89373-AWTFWY,Cookies Almond Hazelnut,44.78,2
order-74376-4X8L4L,Customer_83,2024-04-10,PROD-89373-AWTFWY,Cookies Almond Hazelnut,61.02,2
order-72593-3BVCYP,Customer_47,2023-09-30,PROD-99091-W7JHO8,Pork Salted Bellies,57.5,2
order-22865-O0OJL7,Customer_59,2023-11-10,PROD-45878-087IDD,"Clams - Littleneck, Whole",45.24,3
order-20475-9I0VSM,Customer_64,2024-02-21,PROD-87506-V8MFDO,"Soup - Knorr, Ministrone",54.27,5
order-39145-WCWKGE,Customer_71,2024-05-23,PROD-33110-3UMYM9,Pork Loin Bine - In Frenched,99.73,3
order-36263-Y5MT8A,Customer_13,2024-01-15,PROD-77652-F5JTU1,Lobster - Tail 6 Oz,11.97,3
order-34142-5V5GH2,Customer_100,2024-06-12,PROD-69368-PGGPNC,Ostrich - Prime Cut,51.78,2
order-59812-O95RGB,Customer_52,2024-02-21,PROD-89373-AWTFWY,Cookies Almond Hazelnut,74.57,4
order-99235-UDYC0Q,Customer_21,2024-04-18,PROD-05828-E0QMLL,Carbonated Water - Orange,98.7,2
order-20895-TZR8NM,Customer_71,2024-04-28,PROD-03977-S1HZ6B,Pie Shell - 5,9.54,4
order-18943-5R55EO,Customer_94,2024-02-06,PROD-07044-C7ZUO1,Sole - Fillet,61.63,5
order-16452-36VQTG,Customer_95,2023-08-21,PROD-74821-4KNUA6,"Beef - Tongue, Cooked",75.66,5
order-10049-FL53WS,Customer_60,2024-01-21,PROD-45878-087IDD,"Clams - Littleneck, Whole",13.79,4
order-58133-8WB682,Customer_24,2024-05-12,PROD-55844-OY7490,Venison - Denver Leg Boneless,40.7,3
order-72171-DETD0O,Customer_48,2024-07-21,PROD-19756-FN378E,Roe - Flying Fish,42.2,5
order-38690-TBPAQL,Customer_60,2023-11-16,PROD-22372-K04JUM,Onion Powder,48.65,5
order-72664-MQLZ16,Customer_21,2024-06-03,PROD-87506-V8MFDO,"Soup - Knorr, Ministrone",88.66,1
order-49069-1623TQ,Customer_9,2024-04-22,PROD-56388-2OET3Y,Calvados - Boulard,45.48,4
order-46754-KQCCBA,Customer_60,2024-04-05,PROD-65311-XSZLWG,Cucumber - English,8.96,5
order-30356-XVB6LN,Customer_4,2024-06-18,PROD-05828-E0QMLL,Carbonated Water - Orange,29.41,4
order-00101-ELGVBN,Customer_60,2023-08-22,PROD-69368-PGGPNC,Ostrich - Prime Cut,41.64,2
order-44517-OG0OOC,Customer_50,2023-08-06,PROD-41288-8SSO3R,Soup - Campbells Chili Veg,42.33,1
order-46361-Y2FCZR,Customer_80,2024-04-30,PROD-99091-W7JHO8,Pork Salted Bellies,73.35,5
order-25327-B1L6MM,Customer_11,2024-03-18,PROD-98653-BBZ430,Artichoke - Fresh,70.17,4
order-62583-AJBOVF,Customer_7,2024-07-26,PROD-65311-XSZLWG,Cucumber - English,8.37,5
order-96747-32N9NU,Customer_99,2023-10-05,PROD-87506-V8MFDO,"Soup - Knorr, Ministrone",14.84,1
order-70156-EU3910,Customer_60,2023-10-29,PROD-56388-2OET3Y,Calvados - Boulard,67.82,1
order-74745-VLDT35,Customer_75,2024-05-14,PROD-97351-03NF1Y,Sea Bass - Fillets,46.48,5
order-81610-91VO0X,Customer_11,2024-06-23,PROD-03977-S1HZ6B,Pie Shell - 5,72.7,5
order-89906-XNTZPO,Customer_15,2024-07-20,PROD-19756-FN378E,Roe - Flying Fish,64.12,1
order-28057-HWORY2,Customer_74,2023-10-02,PROD-77652-F5JTU1,Lobster - Tail 6 Oz,87.14,3
order-54878-JP2ENR,Customer_20,2023-12-18,PROD-55844-OY7490,Venison - Denver Leg Boneless,9.39,5
order-85164-0T1UBD,Customer_85,2023-09-29,PROD-19756-FN378E,Roe - Flying Fish,79.5,5
order-49750-8LXVX1,Customer_57,2024-07-14,PROD-74821-4KNUA6,"Beef - Tongue, Cooked",58.63,4
order-78633-VJNPIW,Customer_21,2024-01-31,PROD-77652-F5JTU1,Lobster - Tail 6 Oz,63.48,5
order-62435-CB84NT,Customer_94,2024-04-05,PROD-56388-2OET3Y,Calvados - Boulard,42.42,4
order-16507-C0JQQH,Customer_73,2024-04-29,PROD-55844-OY7490,Venison - Denver Leg Boneless,23.41,2
order-96916-X6HWZT,Customer_5,2023-10-01,PROD-22372-K04JUM,Onion Powder,19.08,5
order-95740-T5HVNU,Customer_16,2024-03-06,PROD-07044-C7ZUO1,Sole - Fillet,30.88,5
order-25608-PD9YEV,Customer_6,2024-04-19,PROD-41288-8SSO3R,Soup - Campbells Chili Veg,97.55,4
order-59915-AJPMBI,Customer_56,2024-07-02,PROD-05828-E0QMLL,Carbonated Water - Orange,9.31,4
order-02926-3GWF4N,Customer_48,2023-12-16,PROD-77652-F5JTU1,Lobster - Tail 6 Oz,5.37,4
order-76462-1KI8S3,Customer_44,2023-09-14,PROD-33428-NUNI88,Cheese - Pied De Vents,6.1,1
order-32278-E59PKA,Customer_16,2023-11-03,PROD-99091-W7JHO8,Pork Salted Bellies,35.41,1
order-37456-J4U7T7,Customer_48,2024-03-27,PROD-89373-AWTFWY,Cookies Almond Hazelnut,7.88,5
order-12815-B4K1IL,Customer_54,2024-01-21,PROD-97351-03NF1Y,Sea Bass - Fillets,41.89,1
order-50599-NHMU89,Customer_64,2024-04-06,PROD-97351-03NF1Y,Sea Bass - Fillets,46.66,3
order-27384-WK1YLD,Customer_79,2024-01-11,PROD-69368-PGGPNC,Ostrich - Prime Cut,46.49,3
order-62305-JC80EQ,Customer_14,2024-07-07,PROD-22372-K04JUM,Onion Powder,60.15,2
order-27485-WNKZ7Z,Customer_8,2024-04-27,PROD-74821-4KNUA6,"Beef - Tongue, Cooked",94.9,2
order-22052-BU1QM6,Customer_25,2024-07-22,PROD-07044-C7ZUO1,Sole - Fillet,71.83,3
order-10442-4PHPYB,Customer_16,2024-06-12,PROD-98653-BBZ430,Artichoke - Fresh,72.26,4
order-76047-05RV2C,Customer_23,2024-01-08,PROD-22372-K04JUM,Onion Powder,19.99,1
order-70371-IQB55R,Customer_59,2024-04-11,PROD-74821-4KNUA6,"Beef - Tongue, Cooked",31.19,5
order-71054-8200I8,Customer_2,2023-08-10,PROD-07044-C7ZUO1,Sole - Fillet,25.19,5
order-45044-8XEU52,Customer_64,2024-01-14,PROD-98653-BBZ430,Artichoke - Fresh,56.96,2
order-40943-MXZHD5,Customer_54,2024-05-05,PROD-89373-AWTFWY,Cookies Almond Hazelnut,24.25,2
order-33005-ZRJQ8A,Customer_70,2024-07-24,PROD-69368-PGGPNC,Ostrich - Prime Cut,97.0,1
order-35721-OXGC0W,Customer_18,2024-02-23,PROD-41288-8SSO3R,Soup - Campbells Chili Veg,15.57,2
